City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Atuona,PF,78.35,clear sky,-9.8,-139.0333,Villa Enata
7,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
15,Kloulklubed,PW,88.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
23,San Policarpo,PH,83.73,overcast clouds,12.1791,125.5072,Agapita M. Nicart
25,Rikitea,PF,75.07,light rain,-23.1203,-134.9692,People ThankYou
26,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
29,Maine-Soroa,NE,78.98,overcast clouds,13.2114,12.0241,Complexe
30,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
35,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
41,Ambunti,PG,87.44,broken clouds,-4.2365,142.8448,Ambunti Lodge
43,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
44,Pak Phanang,TH,89.42,overcast clouds,8.3511,100.202,Green Park Inn Hotel
45,Marawi,PH,76.64,broken clouds,7.9986,124.2928,Derogongan Residence
48,Salalah,OM,75.31,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
49,Bandarbeyla,SO,75.92,clear sky,9.4942,50.8122,JABIR HOTEL
50,Eydhafushi,MV,81.82,overcast clouds,5.1033,73.0708,Soneva Fushi
52,Taiping,MY,86.2,overcast clouds,4.85,100.7333,Flemington Hotel
53,Soe,ID,88.39,broken clouds,-9.8607,124.284,Dena Hotel
55,Indramayu,ID,86.02,scattered clouds,-6.3264,108.32,Grand Trisula Hotel
56,Mae Hong Son,TH,80.74,scattered clouds,19.3003,97.9685,Baiyoke Chalet Hotel
57,Lorengau,PG,86.0,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
58,Souillac,MU,78.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
59,Itarema,BR,79.81,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
60,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
70,Butaritari,KI,82.38,broken clouds,3.0707,172.7902,Isles Sunset Lodge
72,Ambulu,ID,86.92,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
76,Hithadhoo,MV,79.21,very heavy rain,-0.6,73.0833,Scoop Guest House
77,Hobart,AU,78.03,light rain,-42.8794,147.3294,Mantra on Collins Hobart
79,Denpasar,ID,87.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
81,Gizo,SB,84.56,scattered clouds,-8.103,156.8419,Imagination Island
84,Kahului,US,83.46,clear sky,20.8947,-156.47,Maui Seaside Hotel
90,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
99,Hilo,US,85.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
102,Thinadhoo,MV,77.99,light rain,0.5333,72.9333,
106,Saint-Leu,RE,78.96,clear sky,-21.15,55.2833,La Caz Oceane
108,Grand Gaube,MU,78.39,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
111,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
115,Bengkulu,ID,77.5,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
123,Puntarenas,CR,80.53,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
125,New Norfolk,AU,77.67,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
132,Faanui,PF,79.03,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
150,Wagar,SD,77.63,clear sky,16.1525,36.2032,
152,Dubbo,AU,80.73,light rain,-32.25,148.6167,Comfort Inn Blue Lagoon
153,Saint-Philippe,RE,79.48,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
154,Hobyo,SO,79.63,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
157,Port Blair,IN,83.32,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
162,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
165,Sainte-Suzanne,RE,80.11,clear sky,-20.9061,55.6089,Gites Ango
167,Broken Hill,AU,89.31,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
179,Cabo San Lucas,MX,77.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
180,Diapaga,BF,79.47,broken clouds,12.0708,1.7889,
181,Saint-Joseph,RE,78.48,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
182,Boyolangu,ID,87.57,broken clouds,-8.1181,111.8935,Yos ega cv
186,Manicore,BR,75.22,broken clouds,-5.8092,-61.3003,Hotel Durval
188,Saint-Pierre,RE,79.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
194,Poya,NC,77.18,few clouds,-21.35,165.15,
196,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
201,Haapiti,PF,82.13,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
216,Puerto Escondido,MX,78.73,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
218,Samarai,PG,84.88,scattered clouds,-10.6167,150.6667,Nuli Sapi
219,Road Town,VG,80.69,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
220,Bousso,TD,79.48,broken clouds,10.4795,16.7117,
225,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
227,Port Macquarie,AU,76.96,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
230,Ewa Beach,US,82.35,few clouds,21.3156,-158.0072,Uncle Junior Robert
233,Kavaratti,IN,82.49,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
