City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Port Alfred,-33.5906,26.891,63.09,83,100,6.17,ZA,light rain
1,Punta Arenas,-53.15,-70.9167,48.31,71,75,10.36,CL,broken clouds
2,Tiksi,71.6872,128.8694,4.75,81,100,19.62,RU,overcast clouds
3,Tangi,34.3006,71.6536,59.0,40,0,5.21,PK,clear sky
4,Kruisfontein,-34.0033,24.7314,56.91,83,100,3.83,ZA,overcast clouds
5,Atuona,-9.8,-139.0333,78.35,73,1,16.98,PF,clear sky
6,Shirokiy,49.758,129.523,21.97,54,100,16.28,RU,overcast clouds
7,Vaini,-21.2,-175.2,82.56,89,40,9.22,TO,scattered clouds
8,Sucre,-19.0333,-65.2627,56.98,60,100,2.33,BO,overcast clouds
9,Lebu,-37.6167,-73.65,51.94,91,1,15.43,CL,clear sky
10,Adrar,20.5022,-10.0711,67.86,41,76,10.54,MR,broken clouds
11,Albany,42.6001,-73.9662,35.58,85,0,3.87,US,clear sky
12,Upernavik,72.7868,-56.1549,10.54,70,7,5.59,GL,clear sky
13,Hoquiam,46.9809,-123.8893,48.99,46,90,8.05,US,overcast clouds
14,Sabinas,27.85,-101.1167,59.94,64,0,8.84,MX,clear sky
15,Kloulklubed,7.0419,134.2556,88.3,74,93,12.46,PW,overcast clouds
16,Anadyr,64.75,177.4833,-7.1,77,0,11.18,RU,clear sky
17,Nanortalik,60.1432,-45.2371,29.41,78,63,4.81,GL,broken clouds
18,Saint George,37.1041,-113.5841,68.34,42,1,0.0,US,clear sky
19,Ushuaia,-54.8,-68.3,51.46,50,40,11.5,AR,scattered clouds
20,Shimoda,34.6667,138.95,62.96,66,98,12.66,JP,overcast clouds
21,Carnarvon,-24.8667,113.6333,73.47,53,0,24.16,AU,clear sky
22,Chokurdakh,70.6333,147.9167,0.97,89,99,5.19,RU,overcast clouds
23,San Policarpo,12.1791,125.5072,83.73,79,98,8.5,PH,overcast clouds
24,Provideniya,64.3833,-173.3,8.8,82,4,8.81,RU,clear sky
25,Rikitea,-23.1203,-134.9692,75.07,81,54,11.45,PF,light rain
26,Padang,-0.9492,100.3543,80.65,82,100,4.16,ID,overcast clouds
27,Srednekolymsk,67.45,153.6833,8.06,83,100,4.9,RU,overcast clouds
28,Hesla,24.0667,85.8833,71.78,51,36,5.86,IN,scattered clouds
29,Maine-Soroa,13.2114,12.0241,78.98,14,86,9.17,NE,overcast clouds
30,Georgetown,5.4112,100.3354,85.95,79,20,3.44,MY,few clouds
31,East London,-33.0153,27.9116,65.34,82,40,4.61,ZA,light rain
32,Hasaki,35.7333,140.8333,68.29,58,10,12.75,JP,clear sky
33,Mount Isa,-20.7333,139.5,98.37,23,75,13.8,AU,broken clouds
34,Cavallino,40.3125,18.2004,67.03,92,75,4.0,IT,broken clouds
35,Avarua,-21.2078,-159.775,77.05,69,91,9.22,CK,overcast clouds
36,Tuktoyaktuk,69.4541,-133.0374,23.0,86,90,14.97,CA,overcast clouds
37,Tabas,33.5959,56.9244,52.59,16,96,7.87,IR,overcast clouds
38,Mar Del Plata,-38.0023,-57.5575,54.88,75,0,8.01,AR,clear sky
39,Busselton,-33.65,115.3333,60.69,46,48,3.44,AU,scattered clouds
40,Evensk,61.95,159.2333,23.59,92,100,0.69,RU,light snow
41,Ambunti,-4.2365,142.8448,87.44,67,66,4.03,PG,broken clouds
42,Yurimaguas,-5.9,-76.0833,73.09,99,100,2.17,PE,overcast clouds
43,Isangel,-19.55,169.2667,80.71,74,75,6.91,VU,broken clouds
44,Pak Phanang,8.3511,100.202,89.42,71,98,2.44,TH,overcast clouds
45,Marawi,7.9986,124.2928,76.64,62,78,4.74,PH,broken clouds
46,Ascoli Piceno,42.8548,13.5749,55.36,95,97,1.01,IT,overcast clouds
47,Puerto Ayora,-0.7393,-90.3518,69.42,75,100,9.31,EC,overcast clouds
48,Salalah,17.0151,54.0924,75.31,69,88,1.25,OM,overcast clouds
49,Bandarbeyla,9.4942,50.8122,75.92,77,0,5.41,SO,clear sky
50,Eydhafushi,5.1033,73.0708,81.82,78,100,17.18,MV,overcast clouds
51,Bluff,-46.6,168.3333,67.8,70,99,12.21,NZ,overcast clouds
52,Taiping,4.85,100.7333,86.2,70,99,1.07,MY,overcast clouds
53,Soe,-9.8607,124.284,88.39,39,59,7.76,ID,broken clouds
54,Grindavik,63.8424,-22.4338,39.15,87,90,17.27,IS,overcast clouds
55,Indramayu,-6.3264,108.32,86.02,65,44,2.91,ID,scattered clouds
56,Mae Hong Son,19.3003,97.9685,80.74,78,40,3.44,TH,scattered clouds
57,Lorengau,-2.0226,147.2712,86.0,66,87,7.83,PG,overcast clouds
58,Souillac,-20.5167,57.5167,78.37,78,40,6.91,MU,scattered clouds
59,Itarema,-2.9248,-39.9167,79.81,80,100,11.03,BR,overcast clouds
60,Touros,-5.1989,-35.4608,79.7,86,69,8.63,BR,broken clouds
61,Chumikan,54.7183,135.315,25.38,60,100,31.68,RU,overcast clouds
62,Portland,45.5234,-122.6762,48.7,87,1,1.01,US,clear sky
63,Baykit,61.67,96.37,19.9,95,100,5.79,RU,snow
64,Mataura,-46.1927,168.8643,67.48,33,100,2.62,NZ,overcast clouds
65,Bowling Green,36.9903,-86.4436,41.72,75,1,0.0,US,clear sky
66,Lavrentiya,65.5833,-171.0,5.63,82,96,11.61,RU,overcast clouds
67,Kaitangata,-46.2817,169.8464,58.93,71,99,13.73,NZ,overcast clouds
68,Awjilah,29.1081,21.2869,69.93,39,1,6.42,LY,clear sky
69,Husavik,66.0449,-17.3389,31.91,84,97,8.3,IS,overcast clouds
70,Butaritari,3.0707,172.7902,82.38,71,61,12.59,KI,broken clouds
71,Naze,28.3667,129.4833,65.32,91,100,19.44,JP,light rain
72,Ambulu,-8.345,113.6058,86.92,65,100,4.09,ID,overcast clouds
73,Yellowknife,62.456,-114.3525,29.41,100,90,9.22,CA,overcast clouds
74,San Cristobal,7.7669,-72.225,71.78,96,67,2.71,VE,broken clouds
75,Kemise,10.7167,39.8667,61.09,46,10,5.7,ET,clear sky
76,Hithadhoo,-0.6,73.0833,79.21,82,100,15.52,MV,very heavy rain
77,Hobart,-42.8794,147.3294,78.03,49,75,4.0,AU,light rain
78,Lisbon,38.7167,-9.1333,54.09,60,0,6.91,PT,clear sky
79,Denpasar,-8.65,115.2167,87.46,70,20,8.05,ID,few clouds
80,Atar,20.5169,-13.0499,73.81,38,22,9.6,MR,few clouds
81,Gizo,-8.103,156.8419,84.56,66,28,0.74,SB,scattered clouds
82,Ponta Do Sol,32.6667,-17.1,67.71,64,8,8.01,PT,clear sky
83,Turukhansk,65.8167,87.9833,-6.16,100,100,1.61,RU,overcast clouds
84,Kahului,20.8947,-156.47,83.46,71,1,19.57,US,clear sky
85,Kedrovoye,57.1576,60.5698,33.24,63,100,12.64,RU,overcast clouds
86,Qaanaaq,77.484,-69.3632,11.26,69,98,10.45,GL,overcast clouds
87,Bethel,41.3712,-73.414,44.01,78,1,0.0,US,clear sky
88,Tura,25.5198,90.2201,72.73,68,6,2.42,IN,clear sky
