City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tasiilaq,65.6145,-37.6368,32.16,76,100,8.14,GL,2021-10-28 18:23:22
1,Puerto Ayora,-0.7393,-90.3518,76.96,88,92,4.0,EC,2021-10-28 18:23:22
2,Albany,42.6001,-73.9662,60.67,73,87,2.13,US,2021-10-28 18:21:14
3,Lebu,-37.6167,-73.65,59.25,75,1,15.05,CL,2021-10-28 18:23:23
4,Rikitea,-23.1203,-134.9692,75.04,81,4,10.76,PF,2021-10-28 18:23:23
5,Klaksvik,62.2266,-6.589,49.12,89,6,20.94,FO,2021-10-28 18:23:23
6,Mao,39.8885,4.2658,63.16,82,20,4.61,ES,2021-10-28 18:23:24
7,Hanzhong,33.0728,107.0303,56.66,82,100,0.85,CN,2021-10-28 18:23:24
8,Kipushi,-11.7667,27.2333,71.85,47,42,4.74,CD,2021-10-28 18:23:24
9,Thinadhoo,0.5333,72.9333,82.6,76,96,15.21,MV,2021-10-28 18:23:25
10,Pochutla,15.7432,-96.4661,90.82,53,6,6.69,MX,2021-10-28 18:23:25
11,Cabo San Lucas,22.8909,-109.9124,86.5,53,1,4.0,MX,2021-10-28 18:23:25
12,Salalah,17.0151,54.0924,80.69,74,40,3.44,OM,2021-10-28 18:23:26
13,Ukiah,39.1502,-123.2078,75.04,77,1,0.0,US,2021-10-28 18:23:26
14,Boddam,57.4667,-1.7833,52.38,94,100,9.62,GB,2021-10-28 18:23:26
15,Pisco,-13.7,-76.2167,66.02,82,0,9.22,PE,2021-10-28 18:23:27
16,Ushuaia,-54.8,-68.3,62.26,31,20,16.11,AR,2021-10-28 18:22:31
17,Agirish,61.9247,63.0231,28.72,80,100,14.72,RU,2021-10-28 18:23:27
18,Lata,40.1629,-8.3327,66.04,67,100,6.38,PT,2021-10-28 18:23:27
19,Matao,-21.6033,-48.3658,76.3,73,100,6.33,BR,2021-10-28 18:23:28
20,Am Timan,11.0297,20.2827,86.09,39,64,1.32,TD,2021-10-28 18:23:28
21,Port Alfred,-33.5906,26.891,68.04,93,100,7.94,ZA,2021-10-28 18:23:29
22,Cape Town,-33.9258,18.4232,63.88,83,0,1.01,ZA,2021-10-28 18:23:29
23,Upernavik,72.7868,-56.1549,19.47,58,57,5.03,GL,2021-10-28 18:23:29
24,Kargil,34.5667,76.1,31.14,53,10,2.66,IN,2021-10-28 18:23:30
25,Dyersburg,36.0345,-89.3856,64.53,88,90,6.91,US,2021-10-28 18:23:30
26,Mandalgovi,45.7625,106.2708,34.3,43,3,9.13,MN,2021-10-28 18:23:30
27,Vaini,-21.2,-175.2,73.56,83,75,6.91,TO,2021-10-28 18:23:31
28,Atuona,-9.8,-139.0333,78.62,66,20,17.22,PF,2021-10-28 18:23:31
29,Lagoa,39.05,-27.9833,66.94,75,96,12.46,PT,2021-10-28 18:23:31
30,Sarmakovo,43.7456,43.2003,39.85,63,0,2.73,RU,2021-10-28 18:23:31
31,Parabel,58.6978,81.4825,33.31,64,100,16.02,RU,2021-10-28 18:23:32
32,Port Elizabeth,-33.918,25.5701,69.1,94,40,4.61,ZA,2021-10-28 18:23:32
33,Mchinji,-13.7984,32.8802,71.64,46,41,6.44,MW,2021-10-28 18:23:33
34,Victoria,22.2855,114.1577,77.38,85,26,1.99,HK,2021-10-28 18:19:29
35,Punta Arenas,-53.15,-70.9167,60.91,51,75,16.11,CL,2021-10-28 18:23:33
36,Ilmatsalu,58.3881,26.5593,53.85,87,90,10.36,EE,2021-10-28 18:23:33
37,Manzhouli,49.6,117.4333,36.36,59,28,0.94,CN,2021-10-28 18:23:34
38,Lang Son,21.8333,106.7333,65.21,97,99,3.71,VN,2021-10-28 18:23:34
39,Lagos,6.5833,3.75,80.92,86,54,3.76,NG,2021-10-28 18:22:29
40,Lorengau,-2.0226,147.2712,81.1,78,84,3.91,PG,2021-10-28 18:23:34
41,Carnarvon,-24.8667,113.6333,64.47,63,0,18.41,AU,2021-10-28 18:23:35
42,Arraial Do Cabo,-22.9661,-42.0278,76.96,83,75,13.8,BR,2021-10-28 18:23:35
43,San Quintin,30.4833,-115.95,75.09,37,0,4.45,MX,2021-10-28 18:23:35
44,Tuktoyaktuk,69.4541,-133.0374,26.6,100,90,3.44,CA,2021-10-28 18:23:36
45,Kavaratti,10.5669,72.642,81.1,76,100,3.87,IN,2021-10-28 18:23:36
46,Airai,-8.9266,125.4092,62.42,90,99,1.41,TL,2021-10-28 18:23:37
47,Yellowknife,62.456,-114.3525,35.42,100,90,0.0,CA,2021-10-28 18:19:09
48,Dolores,-36.3132,-57.6792,88.88,40,68,10.0,AR,2021-10-28 18:23:37
49,Mpophomeni,-29.5682,30.1862,55.31,94,100,1.79,ZA,2021-10-28 18:19:09
50,Jingdezhen,29.2947,117.2079,59.23,89,42,3.09,CN,2021-10-28 18:23:38
51,Kununurra,-15.7667,128.7333,80.58,78,40,6.91,AU,2021-10-28 18:23:38
52,Jamestown,42.097,-79.2353,64.02,57,1,7.0,US,2021-10-28 18:21:14
53,Kokoda,-8.8785,147.7407,72.54,93,74,1.7,PG,2021-10-28 18:23:39
54,Nhulunbuy,-12.2333,136.7667,75.81,83,61,0.0,AU,2021-10-28 18:23:39
55,Ischia,40.7342,13.9471,63.57,55,98,9.82,IT,2021-10-28 18:23:39
56,Fortuna Foothills,32.6578,-114.4119,82.45,23,1,3.0,US,2021-10-28 18:23:40
57,Bluff,-46.6,168.3333,53.02,89,5,5.73,NZ,2021-10-28 18:23:40
58,Moose Factory,51.2585,-80.6094,53.6,50,1,6.91,CA,2021-10-28 18:23:40
59,Kapaa,22.0752,-159.319,78.78,99,90,4.61,US,2021-10-28 18:23:41
60,Hasaki,35.7333,140.8333,52.29,56,61,30.36,JP,2021-10-28 18:23:41
61,Buchanan,5.8808,-10.0467,80.56,84,61,4.59,LR,2021-10-28 18:23:41
62,Mataura,-46.1927,168.8643,46.74,99,23,1.86,NZ,2021-10-28 18:23:42
63,Hilo,19.7297,-155.09,82.27,68,1,3.44,US,2021-10-28 18:23:42
64,Brigantine,39.4101,-74.3646,66.34,76,90,10.36,US,2021-10-28 18:23:42
65,Hermanus,-34.4187,19.2345,62.91,91,1,2.15,ZA,2021-10-28 18:23:42
66,Wilmington,34.2257,-77.9447,71.51,66,1,11.5,US,2021-10-28 18:20:37
67,Darhan,49.4867,105.9228,34.41,72,100,10.98,MN,2021-10-28 18:23:43
68,Sitka,57.0531,-135.33,39.09,87,90,9.22,US,2021-10-28 18:23:43
69,Guane,22.2025,-84.0875,87.98,62,100,13.96,CU,2021-10-28 18:23:44
70,Xichang,27.8964,102.2634,56.26,85,69,3.04,CN,2021-10-28 18:23:44
71,Hobart,-42.8794,147.3294,48.11,93,90,3.0,AU,2021-10-28 18:23:44
72,Codrington,-38.2667,141.9667,47.66,93,100,29.21,AU,2021-10-28 18:23:44
73,Navalmoral De La Mata,39.8916,-5.5406,62.96,40,87,3.67,ES,2021-10-28 18:23:45
74,Dunn,44.95,-91.8835,51.76,90,100,6.91,US,2021-10-28 18:23:45
75,Busselton,-33.65,115.3333,40.05,82,18,8.16,AU,2021-10-28 18:23:45
76,Marolambo,-20.05,48.1167,62.49,93,100,4.36,MG,2021-10-28 18:23:46
77,Poso,-1.3959,120.7524,77.09,84,69,2.89,ID,2021-10-28 18:23:46
78,Presidente Olegario,-18.4178,-46.4181,84.74,34,65,8.23,BR,2021-10-28 18:23:46
79,Sao Felix Do Xingu,-6.6447,-51.995,100.2,23,52,1.5,BR,2021-10-28 18:21:53
80,Dikson,73.5069,80.5464,6.57,93,70,9.19,RU,2021-10-28 18:23:47
81,Srednekolymsk,67.45,153.6833,-9.72,99,18,1.79,RU,2021-10-28 18:23:47
82,Laguna,38.421,-121.4238,75.04,91,1,1.99,US,2021-10-28 18:20:08
83,Coracora,-15.0333,-73.7833,66.97,35,45,12.01,PE,2021-10-28 18:23:47
84,East London,-33.0153,27.9116,67.14,88,20,3.44,ZA,2021-10-28 18:23:48
85,Honiara,-9.4333,159.95,77.27,84,36,4.61,SB,2021-10-28 18:19:57
86,Georgetown,5.4112,100.3354,78.73,89,40,2.3,MY,2021-10-28 18:23:48
87,Cao Bang,22.6667,106.25,67.39,99,100,0.38,VN,2021-10-28 18:23:49
88,Panguna,-6.3164,155.4848,69.84,96,62,3.38,PG,2021-10-28 18:23:49
89,Krasne,49.9145,24.6134,40.35,78,44,3.22,UA,2021-10-28 18:23:49
90,Souillac,-20.5167,57.5167,75.36,83,20,10.36,MU,2021-10-28 18:23:50
91,Butaritari,3.0707,172.7902,81.61,71,70,11.81,KI,2021-10-28 18:23:50
92,Bredasdorp,-34.5322,20.0403,60.28,82,2,3.44,ZA,2021-10-28 18:23:50
93,Norman Wells,65.282,-126.8329,21.24,86,90,3.44,CA,2021-10-28 18:23:51
94,Pevek,69.7008,170.3133,1.54,96,100,3.89,RU,2021-10-28 18:23:51
95,Tres Passos,-27.4556,-53.9319,78.58,59,18,4.94,BR,2021-10-28 18:23:51
96,Haines Junction,60.7522,-137.5108,22.95,80,53,2.3,CA,2021-10-28 18:23:52
97,Esperance,-33.8667,121.9,49.84,73,92,8.05,AU,2021-10-28 18:23:52
98,Gasa,31.5,34.4667,75.9,55,81,7.54,PS,2021-10-28 18:23:52
99,Aripuana,-9.1667,-60.6333,91.44,48,68,2.08,BR,2021-10-28 18:23:53
100,Grand Gaube,-20.0064,57.6608,75.38,71,5,5.01,MU,2021-10-28 18:23:53
101,Cidreira,-30.1811,-50.2056,72.28,72,2,16.55,BR,2021-10-28 18:23:53
102,Yulara,-25.2406,130.9889,67.84,21,35,8.05,AU,2021-10-28 18:23:53
103,Yagoua,10.3411,15.2329,86.31,29,19,0.6,CM,2021-10-28 18:23:54
104,Leningradskiy,69.3833,178.4167,5.99,90,100,10.2,RU,2021-10-28 18:23:54
105,Avarua,-21.2078,-159.775,73.45,73,100,12.66,CK,2021-10-28 18:23:54
106,Sao Filipe,14.8961,-24.4956,79.21,76,100,9.55,CV,2021-10-28 18:23:55
107,Mayo,38.8876,-76.5119,67.98,70,95,1.99,US,2021-10-28 18:23:55
108,Qaanaaq,77.484,-69.3632,21.56,92,100,8.12,GL,2021-10-28 18:23:55
109,Alamosa,37.4695,-105.87,58.66,36,1,3.44,US,2021-10-28 18:23:56
110,Aitape,-3.1374,142.3475,77.07,88,99,4.5,PG,2021-10-28 18:23:56
111,Riyadh,24.6877,46.7219,82.54,14,92,8.43,SA,2021-10-28 18:23:36
112,Richards Bay,-28.783,32.0377,67.33,70,99,14.27,ZA,2021-10-28 18:23:56
113,Alofi,-19.0595,-169.9187,69.69,94,3,3.44,NU,2021-10-28 18:21:25
114,Cabatuan,10.8794,122.486,75.31,89,92,9.28,PH,2021-10-28 18:23:57
115,Natal,-5.795,-35.2094,86.65,58,20,19.57,BR,2021-10-28 18:23:57
116,Labuhan,-6.8844,112.2051,80.83,80,100,4.79,ID,2021-10-28 18:23:57
117,Ancud,-41.8697,-73.8203,63.93,69,61,8.66,CL,2021-10-28 18:23:58
118,Stavrovo,56.1331,40.013,41.54,86,100,8.59,RU,2021-10-28 18:23:58
119,Srandakan,-7.9386,110.2506,77.99,90,100,4.72,ID,2021-10-28 18:23:58
120,Castro,-24.7911,-50.0119,69.31,81,97,9.55,BR,2021-10-28 18:23:59
121,Komsomolskiy,40.4272,71.7189,50.72,57,96,4.61,UZ,2021-10-28 18:23:59
122,Santiago Del Estero,-27.7951,-64.2615,98.8,15,2,15.82,AR,2021-10-28 18:23:58
123,Cuiluan,47.72,128.648,33.19,81,0,3.06,CN,2021-10-28 18:24:00
124,Belaya Gora,68.5333,146.4167,0.63,93,100,2.1,RU,2021-10-28 18:24:00
125,Mahebourg,-20.4081,57.7,75.25,83,20,10.36,MU,2021-10-28 18:24:00
126,Sistranda,63.7256,8.834,52.9,89,100,11.81,NO,2021-10-28 18:22:06
127,Tura,25.5198,90.2201,67.46,92,0,3.91,IN,2021-10-28 18:24:01
128,Neuenhagen,52.5299,13.6891,56.82,77,19,9.91,DE,2021-10-28 18:24:01
129,Fuling,29.7022,107.3919,59.41,94,100,1.72,CN,2021-10-28 18:21:06
130,Bairiki,1.3292,172.9752,80.6,78,20,8.05,KI,2021-10-28 18:24:02
131,Isangel,-19.55,169.2667,75.43,87,25,10.74,VU,2021-10-28 18:24:03
132,Calabozo,8.9242,-67.4293,79.14,79,97,1.83,VE,2021-10-28 18:24:03
133,Cockburn Town,21.4612,-71.1419,85.96,66,20,5.75,TC,2021-10-28 18:24:04
134,Aksarka,66.5606,67.7975,24.08,97,100,5.44,RU,2021-10-28 18:20:12
